地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2012/12/19,08:57:38.4,徳島県北部,33°58.0′N,134°28.2′E,39 km,3.5,震度２
2012/12/19,06:47:46.6,岩手県沖,39°45.7′N,142°17.6′E,33 km,3.8,震度２
2012/12/19,05:31:38.4,千葉県北東部,35°41.8′N,140°37.7′E,50 km,3.6,震度２
2012/12/19,03:36:21.5,福島県沖,36°41.7′N,142°06.2′E,35 km,5.1,震度２
2012/12/18,19:25:48.4,宮城県沖,38°18.2′N,141°53.6′E,46 km,4.5,震度３
2012/12/18,06:11:20.0,岩手県沿岸北部,40°08.0′N,141°47.6′E,6 km,3.5,震度２
2012/12/18,03:46:09.7,福島県沖,36°51.0′N,141°20.7′E,29 km,4.9,震度２
2012/12/17,18:48:01.4,栃木県北部,36°53.7′N,139°26.1′E,3 km,3.7,震度３
2012/12/17,17:01:17.0,千葉県東方沖,35°48.6′N,140°53.2′E,10 km,3.6,震度２
2012/12/17,15:30:29.3,宗谷地方北部,45°03.0′N,141°49.5′E,29 km,3.7,震度２
2012/12/17,10:31:29.8,福島県中通り,37°34.7′N,140°17.3′E,8 km,3.7,震度２
2012/12/16,06:02:10.6,奄美大島近海,28°22.7′N,129°29.4′E,35 km,3.8,震度２
2012/12/15,14:46:10.3,茨城県沖,36°49.3′N,141°12.5′E,32 km,5.0,震度４
2012/12/15,13:27:01.6,福島県沖,37°17.8′N,141°20.9′E,59 km,5.3,震度４
2012/12/15,05:37:16.7,宮城県沖,38°38.8′N,142°27.4′E,40 km,4.8,震度２
2012/12/15,03:46:48.4,宮城県沖,38°07.4′N,141°30.5′E,63 km,3.9,震度２
2012/12/13,20:56:05.9,千葉県北西部,35°43.0′N,140°12.6′E,68 km,4.2,震度２
2012/12/13,01:02:55.7,茨城県沖,36°37.7′N,140°57.4′E,49 km,4.0,震度３
2012/12/12,18:23:00.7,茨城県北部,36°42.1′N,140°37.2′E,6 km,3.6,震度２
2012/12/12,16:41:35.3,新潟県上中越沖,37°37.1′N,138°34.7′E,16 km,3.4,震度２
2012/12/12,09:19:36.3,福島県沖,36°59.0′N,141°25.6′E,32 km,4.7,震度３
2012/12/11,23:36:02.3,千葉県東方沖,35°27.3′N,140°56.7′E,24 km,3.7,震度２
2012/12/08,10:33:04.8,宮城県北部,38°47.2′N,140°42.9′E,3 km,2.4,震度２
2012/12/08,07:59:59.5,三陸沖,37°48.8′N,143°42.5′E,44 km,5.2,震度２
2012/12/08,04:24:56.8,青森県東方沖,40°49.7′N,142°57.6′E,5 km,4.6,震度２
2012/12/07,19:40:26.5,茨城県沖,36°42.0′N,141°13.9′E,32 km,4.2,震度２
2012/12/07,18:23:44.4,茨城県沖,36°42.3′N,141°14.6′E,33 km,4.0,震度２
2012/12/07,17:31:10.2,三陸沖,37°55.1′N,143°51.3′E,30 km,6.6,震度３
2012/12/07,17:18:30.8,三陸沖,38°01.1′N,143°52.0′E,49 km,7.3,震度５弱
2012/12/07,10:03:53.5,茨城県沖,36°42.2′N,141°14.7′E,33 km,3.9,震度２
2012/12/07,05:32:04.3,千葉県北西部,35°38.9′N,140°10.0′E,67 km,4.6,震度３
2012/12/06,19:17:34.6,茨城県沖,36°25.8′N,140°41.5′E,52 km,4.3,震度３
2012/12/06,16:31:53.7,静岡県東部,35°07.6′N,138°39.2′E,16 km,2.2,震度２
2012/12/06,16:18:58.3,福島県沖,37°04.8′N,141°13.5′E,37 km,4.0,震度２
2012/12/05,14:00:43.4,秋田県内陸南部,39°33.9′N,140°29.9′E,8 km,2.8,震度２
2012/12/05,08:02:52.5,新潟県中越地方,37°14.8′N,138°56.6′E,11 km,4.1,震度３
2012/12/05,06:52:07.0,浦河沖,41°54.9′N,142°19.5′E,69 km,4.4,震度２
2012/12/04,05:31:10.8,秋田県内陸南部,39°33.9′N,140°29.4′E,9 km,4.1,震度４
2012/12/04,02:48:27.2,根室半島南東沖,43°08.3′N,145°56.6′E,47 km,4.3,震度２
2012/12/03,23:29:32.1,奄美大島近海,28°07.9′N,129°33.2′E,31 km,4.2,震度２
2012/12/03,17:46:33.4,奈良県,34°02.7′N,135°37.6′E,59 km,3.7,震度２
2012/12/03,14:17:13.5,茨城県沖,36°35.2′N,141°11.1′E,29 km,4.3,震度３
2012/12/03,13:57:16.0,茨城県沖,36°20.5′N,140°43.6′E,91 km,4.3,震度３
2012/12/03,13:14:06.5,宮城県沖,38°37.0′N,141°53.9′E,48 km,4.0,震度２
2012/12/02,16:29:04.2,伊予灘,33°20.2′N,131°49.0′E,70 km,3.9,震度２
2012/11/30,02:10:39.5,茨城県沖,36°33.6′N,140°50.3′E,13 km,3.6,震度２
2012/11/28,21:58:11.4,長野県南部,35°46.0′N,137°33.6′E,10 km,3.2,震度２
2012/11/28,19:23:06.4,浦河沖,41°37.4′N,142°59.8′E,29 km,3.9,震度２
2012/11/28,00:11:09.7,茨城県沖,36°44.4′N,141°02.5′E,42 km,3.8,震度２
2012/11/27,18:55:33.1,宮城県沖,38°18.5′N,141°53.1′E,62 km,4.0,震度２
2012/11/27,07:24:20.0,宮古島近海,24°48.7′N,125°22.5′E,48 km,4.3,震度３
2012/11/27,03:20:38.7,岩手県沖,39°20.4′N,142°04.6′E,48 km,3.9,震度２
2012/11/25,02:40:22.9,千葉県東方沖,35°33.7′N,141°04.9′E,37 km,3.8,震度２
2012/11/24,17:59:47.2,東京湾,35°38.2′N,140°01.0′E,72 km,4.8,震度４
2012/11/24,11:48:57.7,静岡県西部,34°51.4′N,137°53.1′E,33 km,3.6,震度２
2012/11/24,10:30:00.1,宮城県沖,38°12.9′N,141°47.3′E,56 km,4.8,震度４
2012/11/24,05:21:29.3,宮城県沖,38°12.5′N,141°47.3′E,57 km,5.2,震度４
2012/11/24,00:51:47.8,茨城県南部,36°04.0′N,139°52.6′E,45 km,4.4,震度３
2012/11/23,21:16:47.6,岩手県沖,39°08.8′N,142°18.3′E,47 km,4.0,震度２
2012/11/23,08:26:47.9,岩手県沖,39°08.7′N,142°18.1′E,47 km,4.7,震度３
2012/11/22,23:19:31.2,千葉県南部,35°11.7′N,140°04.6′E,85 km,4.2,震度２
2012/11/22,19:10:46.3,岩手県沿岸北部,39°34.0′N,141°58.8′E,34 km,3.8,震度２
2012/11/22,02:42:38.4,宮城県沖,38°31.7′N,141°48.8′E,50 km,5.0,震度４
2012/11/21,09:02:19.0,岩手県沖,39°38.1′N,142°06.6′E,49 km,4.1,震度３
2012/11/20,21:23:12.8,宮城県沖,38°32.0′N,141°43.1′E,53 km,3.7,震度２
2012/11/20,01:22:48.2,新潟県上中越沖,37°36.9′N,138°34.7′E,17 km,3.5,震度２
2012/11/19,15:46:13.5,大分県西部,33°05.9′N,131°13.7′E,5 km,3.3,震度２
2012/11/19,10:37:34.4,十勝沖,42°46.4′N,143°56.5′E,103 km,4.1,震度２
2012/11/19,10:07:55.8,根室半島南東沖,43°03.8′N,145°49.2′E,64 km,4.1,震度２
2012/11/17,17:12:59.9,京都府南部,35°15.9′N,135°29.3′E,7 km,3.9,震度３
2012/11/17,14:40:54.3,茨城県沖,36°25.7′N,140°39.2′E,53 km,3.7,震度２
2012/11/17,07:00:48.8,岐阜県飛騨地方,35°59.5′N,137°14.5′E,7 km,3.1,震度２
2012/11/16,21:41:05.6,宮城県沖,38°53.3′N,141°58.1′E,50 km,3.9,震度２
2012/11/16,17:25:53.8,千葉県東方沖,35°21.4′N,141°13.7′E,30 km,5.5,震度３
2012/11/16,15:57:58.7,能登半島沖,37°09.6′N,136°33.5′E,10 km,3.6,震度３
2012/11/16,14:20:50.2,秋田県内陸北部,40°02.4′N,140°31.7′E,8 km,3.5,震度２
2012/11/15,21:05:34.1,福島県沖,37°05.6′N,141°02.5′E,69 km,3.7,震度２
2012/11/15,09:15:40.5,熊本県阿蘇地方,33°02.4′N,131°09.7′E,9 km,3.2,震度２
2012/11/15,02:19:25.3,茨城県沖,36°25.2′N,141°00.2′E,17 km,4.5,震度２
2012/11/14,18:20:01.2,宮崎県南部山沿い,31°52.8′N,131°04.7′E,9 km,3.2,震度２
2012/11/13,21:59:46.0,宮城県沖,38°41.8′N,141°47.8′E,53 km,3.1,震度２
2012/11/12,19:15:25.0,宮古島近海,25°11.4′N,124°54.8′E,5 km,4.8,震度２
2012/11/11,14:15:53.0,福島県沖,37°35.0′N,141°38.3′E,77 km,4.5,震度３
2012/11/11,13:59:30.6,千葉県北東部,35°44.1′N,140°51.4′E,12 km,3.7,震度２
2012/11/10,21:35:47.8,福島県沖,36°53.3′N,141°22.6′E,32 km,4.4,震度２
2012/11/10,07:35:14.2,宮城県北部,38°51.9′N,141°34.3′E,76 km,4.3,震度３
2012/11/09,22:22:26.0,福島県沖,37°20.5′N,141°21.0′E,49 km,4.1,震度２
2012/11/09,13:06:05.8,福島県沖,36°52.2′N,141°21.2′E,35 km,4.2,震度２
2012/11/09,12:51:53.4,福島県沖,36°52.6′N,141°22.7′E,33 km,5.5,震度４
2012/11/08,20:07:24.9,宮城県沖,38°36.9′N,141°54.3′E,48 km,3.6,震度２
2012/11/08,14:58:53.7,岩手県沖,39°52.5′N,142°09.7′E,47 km,3.9,震度２
2012/11/08,08:54:30.4,福島県浜通り,37°00.3′N,140°41.9′E,11 km,4.2,震度２
2012/11/08,05:15:13.5,宮城県沖,38°51.8′N,141°38.2′E,61 km,3.4,震度２
2012/11/07,09:54:49.1,福島県沖,36°56.0′N,141°22.6′E,40 km,4.3,震度２
2012/11/07,00:01:43.6,千葉県東方沖,35°45.5′N,140°59.3′E,13 km,4.3,震度３
2012/11/06,09:07:14.9,長崎県南西部,32°54.0′N,129°59.2′E,12 km,2.6,震度２
2012/11/06,08:46:02.5,茨城県南部,36°00.2′N,139°57.2′E,43 km,3.3,震度２
2012/11/06,06:59:02.7,茨城県沖,36°38.6′N,141°07.5′E,48 km,4.1,震度２
2012/11/05,13:30:25.9,三陸沖,37°50.8′N,143°39.2′E,47 km,5.7,震度２
2012/11/05,05:51:28.8,長崎県南西部,32°53.9′N,129°59.4′E,13 km,2.4,震度２
2012/11/05,05:49:51.9,茨城県沖,36°19.8′N,140°57.1′E,38 km,4.3,震度３
2012/11/04,03:50:28.7,東京都多摩東部,35°38.6′N,139°25.8′E,31 km,3.3,震度２
2012/11/03,07:34:16.8,福島県沖,37°37.0′N,141°44.9′E,29 km,5.0,震度４
2012/11/02,02:25:18.5,トカラ列島近海,29°12.6′N,129°08.0′E,10 km,3.3,震度２
2012/11/01,22:13:14.6,茨城県北部,36°42.4′N,140°35.5′E,10 km,2.9,震度２
2012/11/01,16:53:12.2,千葉県東方沖,35°41.7′N,140°56.9′E,14 km,4.0,震度２
2012/10/31,15:50:01.4,茨城県南部,36°02.4′N,139°55.5′E,44 km,4.4,震度３
2012/10/31,13:28:01.5,宮城県沖,38°55.2′N,141°55.7′E,51 km,3.9,震度２
2012/10/30,19:13:38.0,茨城県沖,36°09.4′N,141°15.3′E,38 km,4.0,震度２
2012/10/30,11:15:53.3,千葉県北西部,35°38.5′N,140°09.7′E,66 km,4.0,震度２
2012/10/30,08:54:52.5,日向灘,31°58.3′N,131°39.4′E,36 km,3.7,震度２
2012/10/29,09:12:43.3,栃木県北部,36°53.4′N,139°24.5′E,4 km,2.6,震度２
2012/10/28,18:44:06.0,茨城県沖,36°32.3′N,140°52.5′E,50 km,4.3,震度３
2012/10/28,11:31:31.4,愛知県西部,35°18.4′N,136°54.0′E,9 km,2.7,震度２
2012/10/28,01:26:21.6,岩手県沿岸北部,39°45.4′N,141°50.7′E,58 km,3.9,震度２
2012/10/28,00:47:20.5,福島県浜通り,37°14.6′N,140°54.1′E,6 km,3.3,震度２
2012/10/27,13:12:46.0,福島県沖,37°01.2′N,141°07.8′E,51 km,4.1,震度２
2012/10/27,06:59:41.4,内浦湾,42°09.2′N,140°43.7′E,10 km,2.8,震度２
2012/10/27,04:44:37.9,高知県中部,33°30.5′N,133°28.3′E,34 km,4.5,震度３
2012/10/26,22:35:39.8,宮城県沖,38°32.5′N,141°43.3′E,53 km,3.1,震度２
2012/10/26,19:52:54.3,十勝地方中部,42°42.1′N,143°12.7′E,104 km,3.7,震度２
2012/10/26,19:36:29.8,宮城県沖,38°43.3′N,142°11.0′E,42 km,4.7,震度３
2012/10/26,01:54:14.6,日向灘,31°56.1′N,131°54.1′E,27 km,4.4,震度２
2012/10/26,01:49:53.6,宮崎県南部山沿い,32°03.8′N,130°55.1′E,7 km,2.8,震度２
2012/10/25,20:13:16.3,福島県浜通り,37°04.6′N,140°56.1′E,27 km,3.7,震度２
2012/10/25,19:32:26.5,宮城県沖,38°17.3′N,141°51.5′E,48 km,5.6,震度５弱
2012/10/25,18:26:24.4,根室半島南東沖,43°09.8′N,145°34.9′E,52 km,4.1,震度２
2012/10/25,12:52:26.2,福島県中通り,37°03.0′N,140°32.9′E,6 km,3.2,震度２
2012/10/25,09:51:50.6,茨城県沖,36°38.6′N,140°53.6′E,26 km,3.5,震度２
2012/10/24,19:35:21.7,宮城県中部,38°23.7′N,141°04.5′E,15 km,3.4,震度３
2012/10/24,16:56:29.4,茨城県沖,36°32.5′N,140°50.8′E,51 km,4.0,震度２
2012/10/24,16:05:40.3,茨城県沖,36°32.0′N,140°50.8′E,51 km,4.5,震度４
2012/10/24,02:16:34.9,宮城県沖,38°24.8′N,141°47.0′E,55 km,3.7,震度２
2012/10/24,01:30:15.3,茨城県北部,36°39.2′N,140°36.5′E,5 km,3.1,震度２
2012/10/23,17:53:36.1,小笠原諸島西方沖,28°58.7′N,139°41.0′E,468 km,5.9,震度２
2012/10/23,03:09:10.4,新潟県中越地方,37°01.3′N,138°42.5′E,7 km,2.5,震度３
2012/10/23,01:56:07.7,和歌山県北部,34°08.9′N,135°08.3′E,6 km,3.4,震度２
2012/10/22,18:27:09.2,宮城県沖,38°01.7′N,141°49.6′E,50 km,4.5,震度２
2012/10/22,10:43:16.0,岩手県沖,39°12.0′N,142°24.3′E,33 km,4.8,震度３
2012/10/20,18:02:13.7,茨城県北部,36°37.5′N,140°36.4′E,4 km,3.6,震度３
2012/10/20,17:58:10.7,茨城県北部,36°37.4′N,140°36.6′E,3 km,3.7,震度３
2012/10/20,07:54:48.8,新潟県中越地方,37°21.4′N,138°48.0′E,11 km,2.4,震度２
2012/10/19,20:59:42.6,千葉県北西部,35°46.4′N,140°06.8′E,42 km,3.9,震度２
2012/10/19,18:12:57.6,岩手県沖,39°20.4′N,142°03.7′E,48 km,4.4,震度３
2012/10/19,13:10:48.4,茨城県北部,36°27.2′N,140°35.9′E,55 km,3.6,震度２
2012/10/19,10:58:18.8,宮城県沖,38°28.5′N,142°14.2′E,40 km,3.9,震度２
2012/10/19,06:14:52.1,宮城県沖,38°51.2′N,142°03.0′E,46 km,3.9,震度２
2012/10/18,15:49:52.5,秋田県内陸南部,39°34.3′N,140°22.0′E,5 km,2.8,震度２
2012/10/18,12:55:11.1,栃木県北部,36°37.8′N,139°25.8′E,9 km,3.3,震度２
2012/10/18,11:11:57.7,新潟県中越地方,37°01.4′N,138°42.6′E,7 km,2.5,震度３
2012/10/18,09:04:10.4,新潟県中越地方,37°01.5′N,138°42.4′E,7 km,1.9,震度２
2012/10/18,09:02:36.2,新潟県中越地方,37°01.6′N,138°42.5′E,6 km,2.1,震度２
2012/10/18,07:27:51.5,新潟県中越地方,37°01.9′N,138°42.5′E,7 km,2.4,震度３
2012/10/18,06:22:08.5,新潟県中越地方,37°01.9′N,138°42.6′E,8 km,1.8,震度２
2012/10/18,05:38:45.4,新潟県中越地方,37°01.7′N,138°42.4′E,7 km,2.1,震度２
2012/10/18,01:16:43.6,新潟県中越地方,37°01.7′N,138°42.0′E,8 km,3.3,震度３
2012/10/18,00:25:38.1,新潟県中越地方,37°01.5′N,138°42.4′E,7 km,2.6,震度３
2012/10/18,00:01:40.7,新潟県中越地方,37°01.6′N,138°42.5′E,7 km,4.2,震度４
2012/10/17,22:48:12.9,新潟県中越地方,37°01.5′N,138°42.1′E,8 km,2.0,震度２
2012/10/17,09:43:57.8,茨城県北部,36°43.2′N,140°37.5′E,7 km,4.5,震度４
2012/10/17,02:37:08.1,新潟県中越地方,37°01.6′N,138°42.2′E,8 km,2.1,震度２
2012/10/16,22:39:26.1,薩摩半島西方沖,31°12.2′N,130°19.8′E,166 km,5.0,震度２
2012/10/16,06:47:48.2,福島県沖,36°43.1′N,141°52.2′E,45 km,4.5,震度２
2012/10/14,21:14:40.5,日高地方中部,42°40.9′N,142°39.0′E,31 km,4.2,震度２
2012/10/14,20:11:34.2,三陸沖,38°17.0′N,144°15.5′E,46 km,5.4,震度２
2012/10/14,15:34:16.6,島根県東部,35°12.6′N,132°47.8′E,9 km,3.9,震度３
2012/10/14,13:37:12.0,茨城県沖,36°45.7′N,140°47.3′E,17 km,3.9,震度３
2012/10/14,00:14:23.5,日向灘,32°46.0′N,132°17.5′E,36 km,4.1,震度２
2012/10/13,23:02:19.3,千葉県北東部,35°51.1′N,140°32.4′E,38 km,3.5,震度２
2012/10/13,11:21:02.7,京都府南部,35°15.8′N,135°39.5′E,13 km,3.8,震度２
2012/10/12,23:35:51.6,千葉県北東部,35°50.6′N,140°33.5′E,38 km,3.6,震度３
2012/10/12,23:21:05.2,千葉県南部,35°11.6′N,140°11.8′E,11 km,3.1,震度２
2012/10/12,22:30:15.9,茨城県沖,36°13.7′N,140°53.8′E,47 km,3.5,震度２
2012/10/12,13:57:19.5,千葉県北東部,35°50.9′N,140°32.9′E,37 km,5.1,震度４
2012/10/12,05:45:58.6,岩手県沖,39°50.5′N,142°05.4′E,33 km,3.8,震度２
2012/10/12,05:07:04.0,宮城県沖,38°14.9′N,142°06.4′E,41 km,4.0,震度２
2012/10/11,16:06:14.2,茨城県南部,36°07.6′N,140°04.7′E,64 km,3.9,震度２
2012/10/10,23:40:36.9,宮城県沖,38°10.0′N,141°40.6′E,51 km,3.5,震度２
2012/10/10,05:49:35.0,日向灘,32°41.2′N,132°29.2′E,33 km,4.5,震度３
2012/10/09,19:17:23.8,福島県沖,37°08.1′N,141°12.4′E,35 km,3.9,震度２
2012/10/09,05:55:44.7,千葉県北西部,35°46.3′N,140°06.3′E,43 km,3.7,震度２
2012/10/08,20:03:59.7,茨城県南部,36°06.6′N,140°05.9′E,62 km,3.9,震度３
2012/10/08,19:49:05.7,宮城県沖,38°53.2′N,141°58.3′E,50 km,3.9,震度２
2012/10/08,14:47:22.4,愛知県東部,34°39.8′N,137°04.5′E,12 km,3.3,震度２
2012/10/08,02:32:24.6,福島県沖,37°30.4′N,141°23.1′E,51 km,4.0,震度２
2012/10/07,22:53:07.5,秋田県内陸北部,39°59.2′N,140°36.4′E,3 km,3.6,震度２
2012/10/07,21:22:23.8,福島県中通り,36°52.0′N,140°33.3′E,6 km,3.5,震度２
2012/10/07,20:00:55.3,茨城県北部,36°46.2′N,140°34.5′E,7 km,3.6,震度２
2012/10/07,08:43:07.4,茨城県沖,36°45.9′N,140°47.2′E,16 km,4.1,震度３
2012/10/07,08:39:45.1,宗谷地方北部,45°10.1′N,141°44.2′E,7 km,3.4,震度２
2012/10/06,01:19:01.8,秋田県内陸北部,39°59.3′N,140°36.4′E,3 km,4.9,震度３
2012/10/05,21:36:07.6,宗谷地方北部,45°01.9′N,141°56.7′E,12 km,2.3,震度２
2012/10/05,17:13:19.0,宮古島北西沖,26°17.4′N,125°09.1′E,152 km,5.2,震度２
2012/10/03,23:53:06.3,茨城県北部,36°41.7′N,140°35.2′E,9 km,3.3,震度２
2012/10/03,20:04:58.3,岩手県沖,39°22.2′N,142°00.2′E,60 km,4.1,震度２
2012/10/03,18:39:59.4,宮城県沖,38°03.1′N,141°54.7′E,51 km,5.0,震度４
2012/10/03,01:53:44.3,秋田県内陸南部,39°30.5′N,140°25.4′E,10 km,2.5,震度２
2012/10/02,10:10:44.9,茨城県沖,36°05.5′N,140°58.9′E,39 km,4.2,震度３
2012/10/02,07:55:44.6,三陸沖,39°46.7′N,143°32.0′E,20 km,5.0,震度２
2012/10/02,07:21:42.6,三陸沖,39°49.9′N,143°31.2′E,22 km,6.3,震度３
2012/10/02,06:27:36.2,茨城県沖,36°22.0′N,140°57.1′E,46 km,4.3,震度３
2012/10/02,05:50:44.2,福島県沖,37°12.2′N,141°26.4′E,47 km,4.4,震度２
2012/10/02,05:50:22.9,新潟県中越地方,37°10.1′N,138°49.6′E,8 km,2.7,震度２
2012/10/02,05:20:55.6,福島県沖,36°52.0′N,141°23.4′E,30 km,4.5,震度２
2012/10/02,03:40:49.6,福島県沖,36°55.1′N,141°23.7′E,30 km,5.6,震度３
2012/10/02,01:12:21.0,山形県置賜地方,37°48.3′N,140°01.6′E,8 km,4.2,震度３
2012/10/01,14:17:54.8,茨城県沖,35°58.5′N,141°28.8′E,48 km,4.7,震度２
2012/10/01,07:39:17.1,宮城県沖,38°24.6′N,141°53.1′E,19 km,4.6,震度３
2012/10/01,06:40:44.0,宮城県沖,38°37.3′N,141°44.6′E,50 km,3.7,震度２
2012/10/01,05:31:21.2,千葉県東方沖,35°46.8′N,140°54.1′E,11 km,3.4,震度２
2012/09/30,22:39:59.0,福島県浜通り,37°00.8′N,140°36.4′E,8 km,3.8,震度３
2012/09/30,22:39:00.1,福島県中通り,37°01.0′N,140°36.4′E,8 km,4.0,震度３
2012/09/30,14:41:53.1,茨城県北部,36°46.5′N,140°33.7′E,8 km,3.6,震度２
2012/09/30,10:39:27.9,宮城県沖,38°59.2′N,142°23.5′E,33 km,4.3,震度２
2012/09/29,19:49:11.8,千葉県南部,34°58.7′N,139°57.1′E,71 km,3.6,震度２
2012/09/29,19:09:49.8,宮城県沖,38°32.6′N,141°43.3′E,53 km,3.2,震度２
2012/09/29,06:56:10.1,秋田県内陸北部,40°02.5′N,140°32.1′E,9 km,3.6,震度２
2012/09/28,19:42:06.1,釧路地方北部,43°36.3′N,144°22.7′E,3 km,2.0,震度２
2012/09/28,14:46:50.4,茨城県北部,36°50.7′N,140°38.1′E,9 km,3.8,震度２
2012/09/28,02:38:45.4,宮城県沖,38°25.3′N,142°12.8′E,36 km,4.5,震度２
2012/09/26,09:08:24.4,茨城県北部,36°37.4′N,140°36.8′E,10 km,3.6,震度２
2012/09/25,11:55:48.5,茨城県沖,36°40.1′N,141°07.2′E,46 km,4.1,震度２
2012/09/25,01:12:48.0,茨城県南部,36°07.7′N,139°50.6′E,49 km,3.5,震度２
2012/09/24,07:39:04.8,青森県東方沖,41°28.7′N,142°00.7′E,64 km,3.8,震度２
2012/09/23,03:24:19.6,宮城県沖,38°34.5′N,142°00.0′E,40 km,4.0,震度２
2012/09/22,15:22:19.6,茨城県北部,36°41.6′N,140°37.6′E,7 km,3.7,震度２
2012/09/20,14:03:59.3,和歌山県北部,34°14.0′N,135°14.0′E,4 km,3.0,震度２
2012/09/20,12:24:22.1,福島県沖,37°04.5′N,141°10.9′E,50 km,3.8,震度２
2012/09/20,09:26:22.8,奄美大島近海,28°15.9′N,129°27.5′E,32 km,3.4,震度２
2012/09/19,23:30:02.1,宮城県沖,38°32.1′N,141°43.1′E,54 km,3.7,震度２
2012/09/18,04:09:31.1,岩手県沖,39°49.0′N,142°15.5′E,43 km,5.0,震度３
2012/09/17,17:50:46.1,長野県北部,36°58.5′N,138°35.6′E,9 km,2.6,震度２
2012/09/17,17:22:33.7,岩手県沖,39°06.1′N,142°12.4′E,43 km,3.9,震度２
2012/09/17,05:31:00.2,秋田県内陸南部,39°32.0′N,140°25.0′E,9 km,2.7,震度２
2012/09/16,01:17:31.8,新潟県中越地方,37°03.1′N,138°37.0′E,11 km,3.4,震度２
2012/09/16,01:09:45.8,千葉県東方沖,35°45.3′N,140°59.7′E,14 km,4.4,震度３
2012/09/14,11:20:18.1,宮城県沖,38°28.3′N,142°02.8′E,43 km,3.9,震度２
2012/09/14,08:18:38.7,岩手県沖,39°04.3′N,142°22.6′E,32 km,4.0,震度２
2012/09/14,02:45:48.3,千葉県北東部,35°51.3′N,140°31.6′E,35 km,3.8,震度２
2012/09/14,02:22:06.5,千葉県北東部,35°51.6′N,140°32.4′E,37 km,5.1,震度４
2012/09/14,02:01:16.9,橘湾,32°35.7′N,129°50.4′E,11 km,3.3,震度３
2012/09/13,06:35:26.4,静岡県西部,35°02.1′N,137°47.8′E,25 km,3.2,震度２
2012/09/13,00:38:16.1,茨城県沖,36°08.7′N,141°00.0′E,40 km,4.2,震度３
2012/09/11,20:12:10.0,福島県沖,37°37.2′N,141°54.0′E,30 km,4.7,震度２
2012/09/11,10:39:01.8,宮城県沖,38°22.1′N,142°04.3′E,34 km,4.1,震度２
2012/09/11,08:17:32.6,茨城県沖,36°46.5′N,141°15.8′E,33 km,4.4,震度２
2012/09/10,21:21:11.1,宮城県沖,38°21.7′N,141°40.0′E,54 km,3.9,震度２
2012/09/10,20:54:16.0,北海道東方沖,43°31.7′N,146°32.8′E,47 km,3.9,震度２
2012/09/09,16:58:19.2,宮城県沖,38°37.1′N,141°54.3′E,48 km,3.9,震度２
